user_id,organization,organization_type
11111111,Burger King,Work
11111112,Hunter,School
11111113,Wendys,Work
11111114,Hunter,School
11111115,Queens College,Work
11111116,Burger King,Work
11111117,Wendys,Work
11111118,City College,School
11111119,Wendys,Work
11111120,Hunter,School
11111121,McDonalds,School
11111122,City College,Work
11111123,Queens College,Work
11111124,Hunter,Work
11111125,Wendys,School
11111126,Hunter,Work
11111127,Hunter,School
11111128,Queens College,Work
11111129,Burger King,School
11111130,McDonalds,School
11111131,McDonalds,School
11111132,Queens College,Work
11111133,City College,School
11111134,Hunter,School
11111135,Burger King,School
11111136,McDonalds,School
11111137,City College,Work
11111138,McDonalds,Work
11111139,McDonalds,School
11111140,McDonalds,School
11111141,Hunter,School
11111142,City College,Work
11111143,Wendys,School
11111144,Queens College,Work
11111145,City College,Work
11111146,Queens College,School
11111147,Wendys,School
11111148,Wendys,School
11111149,Burger King,School
11111150,Wendys,School
11111151,Hunter,School
11111152,Hunter,School
11111153,Hunter,Work
11111154,Queens College,School
11111155,City College,School
11111156,Hunter,Work
11111157,Hunter,Work
11111158,Wendys,Work
11111159,Burger King,School
11111160,City College,School
11111161,City College,Work
11111162,City College,Work
11111163,City College,School
11111164,McDonalds,Work
11111165,Hunter,School
11111166,Wendys,School
11111167,McDonalds,School
11111168,Queens College,School
11111169,Burger King,Work
11111170,Burger King,School
11111171,Queens College,Work
11111172,Wendys,School
11111173,McDonalds,Work
11111174,Queens College,Work
11111175,Hunter,School
11111176,Hunter,Work
11111177,Burger King,Work
11111178,Burger King,Work
11111179,City College,Work
11111180,City College,School
11111181,City College,Work
11111182,Burger King,Work
11111183,Queens College,School
11111184,Wendys,Work
11111185,City College,Work
11111186,City College,School
11111187,Burger King,School
11111188,City College,Work
11111189,Wendys,School
11111190,Queens College,Work
11111191,Hunter,Work
11111192,Burger King,Work
11111193,Hunter,School
11111194,Burger King,Work
11111195,Wendys,Work
11111196,City College,Work
11111197,Wendys,School
11111198,Hunter,Work
11111199,Queens College,School
11111200,Burger King,School
11111201,McDonalds,Work
11111202,Burger King,School
11111203,City College,Work
11111204,Queens College,School
11111205,Wendys,Work
11111206,Burger King,School
11111207,Burger King,Work
11111208,City College,Work
11111209,Wendys,School
11111210,Wendys,Work
